ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:2.1.3.3;OTC
ec:2.1.4.1;GATM
ec:2.2.1.1;TKTL1,TKTL2,TKT
ec:2.2.1.2;TALDO
ec:2.3.1.1;NAGS
ec:2.3.1.4;GNA1
ec:2.3.1.5;ARY1,ARY2
ec:2.3.1.6;CLAT
ec:2.3.1.7;CACP
ec:2.3.1.9;THIC,THIL
ec:2.3.1.12;ODP2
ec:2.3.1.13;GLYAT,GLYL2
ec:2.3.1.15;GPAT1,GPAT2,GPAT3,GPAT4
ec:2.3.1.16;ECHB,THIK,THIM
ec:2.3.1.17;NAT8L
ec:2.3.1.20;DGAT1,DGAT2,MOGT3
ec:2.3.1.21;CPT1A,CPT1B,CPT1C,CPT2
ec:2.3.1.22;MOGT1,MOGT2,MOGT3
ec:2.3.1.23;LPCT4,MBOA5,PCAT1,PCAT2
ec:2.3.1.24;CERS3,CERS5
ec:2.3.1.26;SOAT1,SOAT2
ec:2.3.1.29;KBL
ec:2.3.1.37;HEM0,HEM1
ec:2.3.1.38;FAS
ec:2.3.1.39;FABD,FAS
ec:2.3.1.41;FAS,OXSM
ec:2.3.1.42;GNPAT
ec:2.3.1.43;LCAT
ec:2.3.1.48;ATF2,CBP,CDY1,CDY2,CDYL1,CLOCK,ELP3,EP300,HAT1,KAT2A,KAT2B,KAT5,KAT6A,KAT6B,KAT7,KAT8,NAA40,NAA60,NCOA1,NCOA3,TAF1,TF3C4
ec:2.3.1.50;SPTC1,SPTC2,SPTC3
ec:2.3.1.51;ABHD5,GPAT3,LCLT1,MBOA2,PCAT2,PLCA,PLCB,PLCC,PLCD,PLCE
ec:2.3.1.57;SAT1,SAT2
ec:2.3.1.61;ODO2
ec:2.3.1.65;BAAT
ec:2.3.1.67;LPCT4,PCAT1,PCAT2
ec:2.3.1.68;GLYL1
ec:2.3.1.71;GLYAT
ec:2.3.1.75;AWAT1,AWAT2
ec:2.3.1.76;AWAT2,DGAT1,DGAT2
ec:2.3.1.78;HGNAT
ec:2.3.1.80;NAT8
ec:2.3.1.85;FAS
ec:2.3.1.87;SNAT
ec:2.3.1.88;NAA10,NAA11,NAA20,NAA30,NAA40,NAA60
ec:2.3.1.97;NMT1,NMT2
ec:2.3.1.108;ATAT
ec:2.3.1.121;LPCT4
ec:2.3.1.135;LRAT
ec:2.3.1.137;OCTC
ec:2.3.1.168;ODB2
ec:2.3.1.176;NLTP
ec:2.3.1.181;LIPT2
ec:2.3.1.199;ELOV1,ELOV2,ELOV3,ELOV4,ELOV5,ELOV6,ELOV7
ec:2.3.1.225;ZDH11,ZDH12,ZDH13,ZDH14,ZDH15,ZDH16,ZDH17,ZDH18,ZDH19,ZDH20,ZDH21,ZDH22,ZDH23,ZDH24,ZDHC1,ZDHC2,ZDHC3,ZDHC4,ZDHC5,ZDHC6,ZDHC7,ZDHC8,ZDHC9,ZH11B
ec:2.3.1.231;TYW4
ec:2.3.1.234;OSGEP,OSGP2
ec:2.3.1.n4;MBOA7
ec:2.3.1.n6;LPCT4,MBOA1,MBOA5
ec:2.3.1.n7;LPCT4,MBOA2
ec:2.3.2.2;GGT1,GGT3,GGT5,GGT6,GGT7
ec:2.3.2.4;GGACT,GGCT
ec:2.3.2.5;QPCTL,QPCT
ec:2.3.2.8;ATE1
ec:2.3.2.13;F13A,TGM1,TGM2,TGM3L,TGM3,TGM4,TGM5,TGM7
ec:2.3.2.23;U2QL1,UB2D1,UB2D2,UB2D3,UB2D4,UB2E1,UB2E2,UB2E3,UB2G1,UB2G2,UB2J1,UB2J2,UB2L3,UB2L6,UB2Q1,UB2Q2,UB2R1,UB2R2,UBE2A,UBE2B,UBE2C,UBE2H,UBE2K,UBE2N,UBE2S,UBE2T,UBE2U,UBE2W,UBE2Z
ec:2.3.2.24;UB2D1,UB2D2,UB2D3,UB2E1,UB2R1,UBE2C,UBE2H,UBE2O
ec:2.3.2.25;UBE2W
ec:2.3.2.26;AREL1,G2E3,HACE1,HECD1,HECD2,HECD3,HECD4,HECW1,HECW2,HERC1,HERC2,HERC3,HERC4,HERC6,HUWE1,ITCH,NED4L,NEDD4,SMUF1,SMUF2,TRIPC,UBE3A,UBE3B,UBE3C,UBR5,WWP1,WWP2
ec:2.3.2.27;AMFR,BARD1,BIRC2,BIRC3,BIRC6,BIRC7,BRAP,BRCA1,BRE1A,BRE1B,CBLB,CBLC,CBL,CHFR,CHIP,CIP1,CNOT4,DTX1,DTX2,DTX3L,DTX3,DTX4,DZIP3,E4F1,FANCL,GOLI,HAKAI,HLTF,HOIL1,I2BP1,KCD11,KCMF1,LIN41,LNX1,LRSM1,LTN1,MARH1,MARH2,MARH3,MARH4,MARH5,MARH6,MARH7,MARH8,MARH9,MARHA,MARHB,MDM2,MEX3C,MGRN1,MIB1,MIB2,MKRN1,MKRN2,MKRN3,MKRN4,MUL1,MYCB2,MYLIP,NEU1B,NEUL1,NEUL3,NHLC1,NOSIP,PELI1,PELI2,PELI3,PIAS4,PJA1,PJA2,PPIL2,PRP19,PZRN3,RAD18,RAG1,RBBP6,RC3H2,RFFL,RFWD2,RFWD3,RING1,RING2,RN111,RN165,RNF4,TRI25,UBE4A,UBE4B,UBR1,UBR2,UBR3,UBR4,UBR7,UHRF1,UHRF2,XIAP,ZFP91,ZN363,ZN645,ZNRF1,ZNRF2,ZNRF3,ZNRF4,ZSWM2
ec:2.3.3.1;CISY
ec:2.3.3.8;ACLY
ec:2.3.3.9;CLYBL
ec:2.3.3.10;HMCS1,HMCS2
ec:2.4.1.1;PYGB,PYGL,PYGM
ec:2.4.1.11;GYS1,GYS2
