tcdb:1.a.9.3.1;S100A1
tcdb:1.a.9.3.1;S100A1
tcdb:1.c.46.1.1;S100A1
tcdb:3.a.3.2.1;S100A1
tcdb:1.f.1.1.1;S100A1
tcdb:8.a.40.1.3;PRPH2
tcdb:9.a.14.1.5;FSHR
tcdb:2.a.22.1.2;FSHR
tcdb:1.a.9.5.5;GABRR1
tcdb:3.d.4.11.1;GABRR1
tcdb:9.b.191.1.5;KDELR1
tcdb:8.a.85.1.1;GUCY2C
tcdb:9.a.14.13.3;PTAFR
tcdb:2.a.29.3.2;PTAFR
tcdb:1.a.50.1.1;PTAFR
tcdb:8.a.21.1.1;PTAFR
tcdb:1.a.6.2.6;PON1
tcdb:9.a.14.3.6;HTR1B
tcdb:3.a.1.203.1;HTR1B
tcdb:3.a.20.1.1;PXMP3
tcdb:1.a.9.5.4;GABRB3
tcdb:1.a.24.1.3;GABRB3
tcdb:9.a.14.3.8;ADORA2A
tcdb:1.a.8.8.1;ADORA2A
tcdb:9.a.14.10.3;AVPR2
tcdb:2.a.22.3.2;AVPR2
tcdb:9.a.14.3.4;ADORA1
tcdb:9.a.14.13.1;AGTR1
tcdb:9.a.14.10.4;OXTR
tcdb:2.a.3.3.9;SLC7A1
tcdb:9.a.14.8.1;OR1E1
tcdb:9.a.14.10.1;GNRHR
tcdb:9.a.14.4.1;CALCR
tcdb:9.a.14.1.14;NTSR1
tcdb:8.a.88.1.1;CASQ1
tcdb:9.a.35.1.1;SDC4
tcdb:2.a.21.3.16;SLC5A2
tcdb:2.a.22.3.3;SLC5A2
tcdb:2.a.22.1.1;SLC5A2
tcdb:9.a.14.4.9;VIPR1
tcdb:9.a.14.2.3;MC4R
tcdb:2.a.19.3.4;SLC8A1
tcdb:3.a.1.208.8;SLC8A1
tcdb:3.a.1.203.3;SLC8A1
tcdb:9.a.14.2.6;CNR2
tcdb:9.a.14.1.4;TRHR
tcdb:9.a.14.9.1;PTGER1
tcdb:9.a.14.4.3;CRHR1
tcdb:1.a.24.1.6;GJA4
tcdb:9.a.14.13.18;OPRM1
tcdb:9.a.14.13.10;APLNR
tcdb:9.a.14.3.9;DRD3
tcdb:1.a.1.10.7;DRD3
tcdb:1.a.1.10.4;DRD3
tcdb:2.a.49.2.1;DRD3
tcdb:8.a.66.1.3;ACTN2
tcdb:1.i.1.1.3;NUP214
tcdb:3.a.3.5.3;NUP214
tcdb:2.a.1.13.10;SLC16A2
tcdb:1.a.24.2.4;GJC1
tcdb:3.a.2.2.4;GJC1
tcdb:1.a.9.1.7;CHRNA7
tcdb:1.a.6.1.1;CHRNA7
tcdb:3.a.5.9.1;CHRNA7
tcdb:1.i.1.1.3;NUP62
tcdb:1.c.77.1.1;NUP62
tcdb:3.a.2.2.4;NUP62
tcdb:3.a.18.1.1;NUP62
tcdb:9.b.192.1.1;MPV17
tcdb:9.a.17.1.2;MPV17
tcdb:2.a.53.2.18;SLC26A3
tcdb:9.a.14.7.2;CASR
tcdb:1.a.8.8.8;CASR
tcdb:9.a.14.13.16;P2RY2
tcdb:2.a.48.1.1;SLC19A1
tcdb:9.a.14.4.8;ADCYAP1R1
tcdb:9.a.14.3.7;HTR2B
tcdb:8.a.40.1.2;TSPAN7
tcdb:1.a.10.1.13;GRIA2
tcdb:1.a.10.1.4;GRIA2
tcdb:8.a.51.1.1;DPP6
tcdb:2.a.23.2.6;SLC1A3
tcdb:2.a.23.2.7;SLC1A2
tcdb:2.a.23.2.3;SLC1A2
tcdb:2.a.23.3.1;SLC1A2
tcdb:4.c.2.1.1;SLC1A2
tcdb:9.a.14.4.6;GLP1R
tcdb:1.a.9.1.6;CHRNA4
tcdb:3.a.1.204.12;ABCG1
tcdb:1.b.8.1.12;VDAC2
tcdb:2.a.17.4.9;SLC15A1
tcdb:1.i.1.1.3;RANGAP1
tcdb:1.a.9.2.1;RANGAP1
tcdb:1.f.1.1.1;RANGAP1
tcdb:2.a.60.1.14;RANGAP1
tcdb:8.a.30.1.2;NEDD4
